index,X1,X2,X3,X4,date
85,857138,3,175354,15537833,"20151107T000000"
88,175354,3,1886447,15616833,"20151108T000000"
89,857138,3,175354,15616833,"20151108T000000"
90,857138,3,981554,15616833,"20151108T000000"
91,857138,3,1886447,15616833,"20151108T000000"
92,1886447,3,981554,15616833,"20151108T000000"
6111,857138,3,728286,30755533,"20160501T000000"
45821,1108217,3,1600928,57778188,"20170310T000000"
58448,1108217,3,1525352,63194052,"20170511T000000"
72469,1108217,3,1971777,68136914,"20170708T000000"
80886,1108217,3,728286,70855533,"20170808T000000"
86677,857138,3,981554,72655933,"20170829T000000"
86678,857138,3,1690582,72655933,"20170829T000000"
86679,1690582,3,981554,72655933,"20170829T000000"
87892,1690582,3,1847246,73055933,"20170903T000000"
100043,1108217,3,1685313,76438085,"20171012T000000"
110572,1108217,3,1627133,79205142,"20171113T000000"
