index,X1,X2,X3,X4,date
10376,857138,2,2040565,1214261,"20150525T000000"
15241,857138,2,2040565,1756767,"20150531T000000"
27174,857138,2,2040565,3104529,"20150616T000000"
69831,857138,2,2040565,7849426,"20150810T000000"
94670,1690582,2,2040565,10571364,"20150910T000000"
99090,857138,2,2040565,11057350,"20150916T000000"
102409,857138,2,2040565,11424388,"20150920T000000"
119244,969089,2,2040565,13276612,"20151012T000000"
129890,969089,2,2040565,14462676,"20151025T000000"
230872,857138,2,2040565,25560927,"20160302T000000"
258366,857138,2,2040565,28577390,"20160406T000000"
287966,857138,2,2040565,31792115,"20160513T000000"
291877,1690582,2,2040565,32213832,"20160518T000000"
394440,857138,2,2040565,43410096,"20160925T000000"
439961,969089,2,2040565,48342647,"20161121T000000"
440307,969089,2,2040565,48379795,"20161121T000000"
451241,857138,2,2040565,49568350,"20161205T000000"
475169,1690582,2,2040565,52124057,"20170103T000000"
513543,857138,2,2040565,56305953,"20170221T000000"
527520,623027,2,2040565,57827460,"20170310T000000"
575434,1690582,2,2040565,63049284,"20170510T000000"
610551,857138,2,2040565,66877336,"20170623T000000"
681096,1847246,2,2038003,74525933,"20170920T000000"
684059,857138,2,2040565,74840758,"20170923T000000"
732435,857138,2,2040565,80099051,"20171123T000000"
