index,X1,X2,X3,X4,date
0,713639,0,713701,4308,"20150511T000000"
1,713563,0,713701,4315,"20150511T000000"
2,713474,0,1376868,4338,"20150511T000000"
3,713701,0,713639,4354,"20150511T000000"
4,1376868,0,713639,4366,"20150511T000000"
5,713563,0,713701,4389,"20150511T000000"
6,713701,0,713639,4453,"20150511T000000"
7,713563,0,713701,4466,"20150511T000000"
8,1376868,0,713701,4501,"20150511T000000"
9,713563,0,1376868,4509,"20150511T000000"
10,713701,0,713639,4520,"20150511T000000"
11,713639,0,713563,4599,"20150511T000000"
12,713701,0,1376868,4697,"20150511T000000"
13,713701,0,1376868,4752,"20150511T000000"
14,713639,0,713563,4792,"20150511T000000"
15,292073,0,713701,4796,"20150511T000000"
16,713639,0,1376868,4798,"20150511T000000"
17,713474,0,713639,4819,"20150511T000000"
18,713639,0,713701,4831,"20150511T000000"
19,1376868,0,292073,4831,"20150511T000000"
20,713701,0,713474,4840,"20150511T000000"
21,713474,0,713639,4845,"20150511T000000"
22,292073,0,713639,4847,"20150511T000000"
23,713474,0,713639,4847,"20150511T000000"
24,713701,0,713639,4849,"20150511T000000"
25,713639,0,713701,4869,"20150511T000000"
26,713444,0,713701,4880,"20150511T000000"
27,713474,0,292073,4881,"20150511T000000"
28,713701,0,1376868,4882,"20150511T000000"
29,713701,0,292073,4883,"20150511T000000"
30,713468,0,292073,4892,"20150511T000000"
31,1376868,0,713701,4904,"20150511T000000"
32,713701,0,713474,4914,"20150511T000000"
33,713701,0,713725,4966,"20150511T000000"
34,713701,0,292073,4967,"20150511T000000"
35,713474,0,713468,4968,"20150511T000000"
36,713639,0,713701,4989,"20150511T000000"
37,713474,0,713701,5022,"20150511T000000"
38,292073,0,713474,5026,"20150511T000000"
39,292073,0,713563,5079,"20150511T000000"
40,713701,0,292073,5079,"20150511T000000"
41,713563,0,713701,5094,"20150511T000000"
42,1376868,0,713474,5094,"20150511T000000"
43,713701,0,1376868,5105,"20150511T000000"
44,713701,0,1376868,5112,"20150511T000000"
45,1376868,0,713474,5112,"20150511T000000"
46,713725,0,292073,5123,"20150511T000000"
47,292073,0,713701,5130,"20150511T000000"
49,713701,0,713725,5149,"20150511T000000"
50,713701,0,713563,5157,"20150511T000000"
51,713444,0,713563,5161,"20150511T000000"
53,713468,0,713563,5197,"20150511T000000"
54,713563,0,713725,5232,"20150511T000000"
55,1376868,0,292073,5253,"20150511T000000"
56,1376868,0,713563,5255,"20150511T000000"
57,713444,0,713563,5305,"20150511T000000"
58,713639,0,713474,5329,"20150511T000000"
59,713701,0,713725,5336,"20150511T000000"
60,1376868,0,713701,5343,"20150511T000000"
61,713563,0,1376868,5348,"20150511T000000"
62,713639,0,1376868,5367,"20150511T000000"
63,713474,0,292073,5377,"20150511T000000"
64,713468,0,1376868,5391,"20150511T000000"
65,713468,0,1376868,5396,"20150511T000000"
66,713701,0,1376868,5432,"20150511T000000"
67,713563,0,713701,5441,"20150511T000000"
68,713563,0,292073,5480,"20150511T000000"
69,713701,0,713639,5529,"20150511T000000"
70,713725,0,292073,5552,"20150511T000000"
72,713639,0,292073,5583,"20150511T000000"
74,713444,0,713563,5610,"20150511T000000"
75,713563,0,713468,5620,"20150511T000000"
76,1376868,0,713563,5651,"20150511T000000"
77,713468,0,1376868,5669,"20150511T000000"
78,713701,0,713444,5670,"20150511T000000"
79,713767,0,713701,5674,"20150511T000000"
80,1376868,0,713444,5688,"20150511T000000"
81,713444,0,713767,5690,"20150511T000000"
82,713701,0,713767,5693,"20150511T000000"
84,713743,0,1376868,5697,"20150511T000000"
85,1376868,0,713701,5712,"20150511T000000"
87,1376868,0,713701,5739,"20150511T000000"
88,713639,0,1376868,5747,"20150511T000000"
89,713701,0,1376868,5747,"20150511T000000"
90,713701,0,1376868,5757,"20150511T000000"
92,292073,0,713474,5769,"20150511T000000"
93,1376868,0,713701,5782,"20150511T000000"
94,1376868,0,713563,5847,"20150511T000000"
96,713444,0,713474,5899,"20150511T000000"
97,713701,0,713743,5911,"20150511T000000"
99,713767,0,713563,5999,"20150511T000000"
100,713474,0,713468,6001,"20150511T000000"
101,713743,0,1376868,6017,"20150511T000000"
102,292073,0,713474,6022,"20150511T000000"
104,713701,0,713814,6035,"20150511T000000"
105,713468,0,292073,6043,"20150511T000000"
106,713767,0,713563,6061,"20150511T000000"
108,713474,0,713701,6098,"20150511T000000"
109,713639,0,713468,6120,"20150511T000000"
110,713639,0,713701,6148,"20150511T000000"
111,713444,0,713701,6172,"20150511T000000"
112,713876,0,1376868,6189,"20150511T000000"
113,713639,0,713563,6207,"20150511T000000"
114,713474,0,713725,6214,"20150511T000000"
116,713767,0,713743,6300,"20150511T000000"
117,713743,0,713474,6326,"20150511T000000"
118,713474,0,713563,6336,"20150511T000000"
119,713743,0,713701,6396,"20150511T000000"
121,713725,0,713701,6423,"20150511T000000"
122,713743,0,1376868,6425,"20150511T000000"
123,713563,0,713701,6445,"20150511T000000"
124,1376868,0,713743,6458,"20150511T000000"
125,713468,0,713701,6460,"20150511T000000"
127,1376868,0,713563,6477,"20150511T000000"
129,1376868,0,713639,6498,"20150511T000000"
130,713639,0,713563,6504,"20150511T000000"
133,713563,0,713743,6543,"20150511T000000"
134,713743,0,713468,6546,"20150511T000000"
135,1376868,0,713725,6590,"20150511T000000"
136,1376868,0,713701,6631,"20150511T000000"
138,713725,0,1376868,6680,"20150511T000000"
142,713701,0,713814,6759,"20150511T000000"
144,292073,0,713474,6825,"20150511T000000"
145,713725,0,713639,6825,"20150511T000000"
146,1376868,0,713701,6828,"20150511T000000"
149,713814,0,713474,6851,"20150511T000000"
150,713767,0,713474,6879,"20150511T000000"
151,713474,0,713725,6885,"20150511T000000"
152,713725,0,292073,6915,"20150511T000000"
153,713468,0,713743,6939,"20150511T000000"
155,713743,0,292073,6970,"20150511T000000"
156,713743,0,713444,6975,"20150511T000000"
157,713701,0,713743,6985,"20150511T000000"
159,292073,0,713701,7002,"20150511T000000"
160,713701,0,713474,7006,"20150511T000000"
161,713767,0,713468,7043,"20150511T000000"
162,1376868,0,713410,7049,"20150511T000000"
163,713444,0,1376868,7061,"20150511T000000"
165,713563,0,713639,7080,"20150511T000000"
166,713468,0,1376868,7081,"20150511T000000"
167,713725,0,713563,7116,"20150511T000000"
169,292073,0,713725,7191,"20150511T000000"
170,713725,0,713743,7193,"20150511T000000"
175,713767,0,713474,7285,"20150511T000000"
178,292073,0,713743,7419,"20150511T000000"
180,713814,0,292073,7430,"20150511T000000"
183,713701,0,713743,7512,"20150511T000000"
185,713410,0,1376868,7559,"20150511T000000"
186,713639,0,1376868,7561,"20150511T000000"
187,713743,0,713892,7564,"20150511T000000"
189,713639,0,713429,7583,"20150511T000000"
190,713701,0,713725,7584,"20150511T000000"
192,713876,0,713639,7611,"20150511T000000"
193,713701,0,713639,7620,"20150511T000000"
194,1376868,0,713474,7622,"20150511T000000"
196,713892,0,713767,7648,"20150511T000000"
198,713701,0,713639,7653,"20150511T000000"
200,292073,0,713725,7666,"20150511T000000"
202,713876,0,713639,7666,"20150511T000000"
203,713743,0,713876,7669,"20150511T000000"
209,713701,0,713474,7702,"20150511T000000"
212,713639,0,713474,7714,"20150511T000000"
216,713701,0,713725,7759,"20150511T000000"
218,292073,0,713701,7763,"20150511T000000"
219,713444,0,713410,7772,"20150511T000000"
221,713814,0,713474,7814,"20150511T000000"
222,713767,0,713743,7819,"20150511T000000"
224,713474,0,713701,7834,"20150511T000000"
225,713701,0,713639,7834,"20150511T000000"
226,713410,0,713701,7846,"20150511T000000"
228,713701,0,713767,7890,"20150511T000000"
229,713563,0,1376868,7891,"20150511T000000"
231,713563,0,713701,7917,"20150511T000000"
232,713474,0,713410,7973,"20150511T000000"
233,713814,0,713474,8008,"20150511T000000"
234,713563,0,1376868,8011,"20150511T000000"
237,713468,0,713701,8147,"20150511T000000"
240,713876,0,292073,8207,"20150511T000000"
243,292073,0,713814,8239,"20150511T000000"
244,713892,0,713336,8241,"20150511T000000"
246,713892,0,713701,8244,"20150511T000000"
250,713563,0,713410,8289,"20150511T000000"
252,713701,0,1376868,8328,"20150511T000000"
253,713725,0,713563,8390,"20150511T000000"
254,292073,0,1376868,8391,"20150511T000000"
255,713814,0,713639,8403,"20150511T000000"
258,713444,0,713474,8438,"20150511T000000"
259,713767,0,713563,8462,"20150511T000000"
260,713814,0,713444,8488,"20150511T000000"
262,713701,0,713474,8514,"20150511T000000"
265,713563,0,713474,8617,"20150511T000000"
267,713336,0,713701,8636,"20150511T000000"
268,713701,0,713563,8637,"20150511T000000"
269,713468,0,713474,8646,"20150511T000000"
272,713474,0,1376868,8724,"20150511T000000"
273,713725,0,713429,8739,"20150511T000000"
274,713767,0,1376868,8739,"20150511T000000"
277,713474,0,713639,8846,"20150511T000000"
279,713701,0,713474,8862,"20150511T000000"
280,713701,0,1376868,8883,"20150511T000000"
281,713701,0,713429,8912,"20150511T000000"
282,713639,0,1376868,8925,"20150511T000000"
283,713639,0,292073,8931,"20150511T000000"
284,713639,0,1376868,8957,"20150511T000000"
288,713336,0,713701,9003,"20150511T000000"
289,713701,0,713814,9009,"20150511T000000"
292,713444,0,713474,9061,"20150511T000000"
295,713814,0,292073,9088,"20150511T000000"
296,713474,0,1376868,9106,"20150511T000000"
300,713701,0,1376868,9145,"20150511T000000"
307,713876,0,713814,9247,"20150511T000000"
310,713725,0,713429,9306,"20150511T000000"
311,713639,0,713429,9322,"20150511T000000"
312,292073,0,713468,9326,"20150511T000000"
313,292073,0,713743,9338,"20150511T000000"
314,713701,0,713639,9352,"20150511T000000"
318,713410,0,713468,9398,"20150511T000000"
319,1376868,0,713701,9437,"20150511T000000"
325,1376868,0,713444,9558,"20150511T000000"
332,713725,0,713743,9685,"20150511T000000"
333,713701,0,713725,9696,"20150511T000000"
334,713266,0,292073,9702,"20150511T000000"
335,713266,0,713701,9707,"20150511T000000"
337,713639,0,713256,9749,"20150511T000000"
340,713743,0,713563,9826,"20150511T000000"
342,713639,0,713892,9835,"20150511T000000"
344,713474,0,292073,9861,"20150511T000000"
347,713474,0,292073,9918,"20150511T000000"
348,713563,0,713336,9921,"20150511T000000"
353,713336,0,713701,10039,"20150511T000000"
354,713725,0,713701,10040,"20150511T000000"
361,713743,0,713767,10167,"20150511T000000"
367,713444,0,713563,10249,"20150511T000000"
368,292073,0,713336,10254,"20150511T000000"
369,1376868,0,713410,10284,"20150511T000000"
370,713639,0,713701,10295,"20150511T000000"
371,713336,0,713474,10301,"20150511T000000"
375,713725,0,713336,10329,"20150511T000000"
376,713743,0,713876,10370,"20150511T000000"
377,1376868,0,713639,10387,"20150511T000000"
