X1,X2,X3,X4
674963,0,685010,13275147
713104,0,713214,1217449
775206,1,885295,66876726
748623,0,715251,63050850
712941,0,716995,3104257
730350,1,826389,49568250
856534,1,719500,66879335
762563,1,773628,31790738
713444,0,717859,1754780
728457,0,709573,11423525
732148,1,692384,74838271
714929,1,713725,48377436
664465,1,709098,49571844
714056,1,746099,25558915
691944,0,716767,3104450
1129244,3,1535961,48341815
713725,1,788837,43411179
705428,0,661347,52122403
1256646,0,714310,48378640
681343,1,678785,49567859
292073,0,694043,3103733
724818,1,721150,14462390
729817,1,705001,25558440
714132,0,727855,7852672
716294,0,700266,1755054
713284,0,712560,31791313
757693,0,713639,49567808
734388,0,738910,43409276
801493,1,934409,63047434
709693,1,666596,10569231
730817,1,586748,80100655
745005,0,713576,32217324
660320,1,759664,14459383
707036,1,670629,14461355
818389,1,731768,56306843
712726,1,703590,3106866
711667,0,703169,11427583
712582,0,681756,7846752
584410,0,782022,48342353
705553,0,651952,63047330
714046,1,1376868,1759372
681424,1,842969,57825484
739402,0,738899,28577146
700642,0,715305,13276413
732050,0,718053,80102480
600283,1,789331,28579666
672600,0,709602,80099906
779629,0,713400,52126078
719338,1,712911,80102353
756186,1,710775,11421441
672248,1,798668,32215430
864313,0,714734,57829368
788413,1,728084,52120791
722415,0,716237,48343660
683779,0,657795,52126956
713716,1,1376868,14464606
563528,1,689507,43408947
706669,1,819846,66877162
699757,0,670071,7852554
664835,1,783044,48381065
713256,2,2040565,10573575
713736,2,2040565,57825484
712984,2,2040565,1753451
694974,0,714116,63048329
658814,1,743642,32215838
730130,1,699013,66878290
708044,0,703617,10568073
706022,0,731051,48344203
30627,0,713701,43408472
886616,1,686982,80098658
769729,0,815936,43410530
878775,1,712510,52123839
716417,0,704829,14463311
785810,1,656038,25560732
795780,0,553745,57828022
712911,1,724507,1754748
717682,0,696407,10572868
738748,1,755268,32212208
692290,0,713266,49570309
578230,1,728833,32215158
771152,1,705673,48341431
718518,1,723069,56304715
713736,0,738484,57828905
712517,1,709964,52124978
805827,1,730485,49571807
726087,0,669902,11060022
624731,0,637970,25558257
920046,0,209093,66874257
916580,0,741507,74843617
668150,1,767953,74522969
724379,0,665041,10570704
716639,1,700651,1758873
645955,1,692627,56302748
703070,0,703067,1212317
801978,0,734298,66880260
743813,0,765444,63051828
713357,1,796266,43410737
792231,1,815357,66877973
755874,0,740246,14459274
660268,0,753929,11057063
677685,1,692501,48381789
710957,0,611539,52122221
750747,0,742496,31795351
695690,1,713045,11423584
716820,1,693500,11420896
703770,0,734502,48382092
712773,0,680452,7847599
782832,1,714915,31792938
702292,0,692504,31793804
550580,1,622001,56303059
826330,0,826331,43411149
681094,1,60093,80098489
719901,0,710908,52124719
705153,1,621204,32216123
752634,0,84461,13273981
723110,1,722090,11059705
750445,1,797894,80096681
742034,1,661420,52122635
680438,0,673393,25558582
696770,1,685705,11420856
719012,1,670117,7845982
702315,0,735408,32210957
699815,0,724751,11060626
702477,1,688769,13274018
718566,1,730614,14464351
724439,0,719252,7846423
712745,0,701651,13276519
635043,1,1963161,43406830
767837,1,768009,49571472
756916,0,709905,57826189
717687,1,714444,3105446
737609,1,721900,43410104
715087,0,716538,1753528
661233,0,756190,11422660
753089,1,712646,31794507
713489,1,861106,66875161
637079,0,703285,48376987
739815,0,706146,48343874
707023,0,713968,1217532
694335,0,728152,7846447
716710,1,714116,1216105
570690,0,654905,43410187
665155,0,714622,43409417
618494,1,699019,52125946
679362,0,663564,52124729
665896,0,714545,32215985
703155,1,717507,1215560
1055555,3,1753688,48341815
713958,1,709303,7852544
724266,1,717336,1757746
739359,0,1376868,10570812
716472,0,870356,52124852
716232,0,786194,48342060
707178,0,744853,31789867
740077,0,744261,43407279
719149,0,707047,14466203
745731,1,546516,56303519
708241,1,718366,1212533
765659,1,895225,74840294
706006,1,797115,49569504
705251,1,673908,10574258
691682,1,701316,3105151
717565,1,731235,74843657
714739,0,642745,63052160
712900,1,715386,7845939
102235,2,2040565,31791476
713357,0,696407,7846992
642959,0,760565,48341260
719082,0,655033,63051552
786147,0,714361,52120784
716123,0,713214,52122989
618005,0,831103,66878459
708752,1,717574,80101377
715191,0,753932,11058155
723900,0,843470,48340959
645312,0,728818,43410567
705522,0,664574,48343865
659416,0,733201,11054395
729788,1,683531,32215220
712815,2,2040565,11424872
700090,0,724881,14462599
726280,0,714794,31794581
659236,0,653781,28574083
714350,1,704494,1754859
735806,1,786302,63046946
740754,1,780172,43408220
603939,0,701962,80097343
740723,0,716089,43412252
721694,2,2040565,25559528
713104,1,713892,49571334
687967,1,636146,80097814
705305,0,690236,25557801
687349,1,735008,7848266
736683,0,663180,28575983
713701,1,719780,1215924
774286,1,617654,32217001
713468,1,714152,3104591
725526,1,347669,11421885
744014,0,725730,43412836
735669,0,723688,11054554
1168368,3,1560237,52125824
662030,0,690800,43411583
651862,1,814564,74841692
724246,1,787979,31792798
715502,1,656961,66879660
710167,1,747199,48342060
593796,1,680788,74523458
712680,0,763095,25560440
712323,1,714152,1757547
649834,2,2040565,63050271
714902,1,712054,56308663
632965,0,828642,74843158
743980,0,715739,11056351
702117,0,713062,1757633
669819,1,765912,49571794
667147,1,672604,56303797
694797,1,697680,11058106
710995,1,689277,48378237
738014,0,717225,13279160
713619,0,736062,14466196
714027,1,777182,43411438
720279,0,734640,25563627
718268,2,2040565,1211558
690851,1,736840,25560817
684241,0,763968,48379696
711075,1,727495,13273965
716428,1,714027,25559926
667687,1,775193,25559940
726699,1,710961,56308521
1106146,3,1862537,52125824
691339,1,722706,7848021
726525,0,744474,7851933
709379,1,719823,1757163
723306,2,2040565,1212382
737938,1,735928,74837495
740195,0,712871,10569639
780662,0,789103,57829151
712168,1,691266,80097955
626731,0,868911,63052418
737318,0,730681,13277488
1300930,3,1687383,52125824
760289,1,713919,13277548
722333,0,725206,1760284
737967,1,797869,74843913
583281,1,721954,52122122
679215,0,39346,74841345
690391,0,713389,11054332
729197,0,693138,25561209
753550,1,718210,31794240
568163,0,762837,43412928
716560,1,707618,1213212
706302,1,710067,1211040
761847,1,753390,13279423
863231,0,863232,49571172
715781,0,236693,63052224
673010,0,761754,48341803
713563,1,713045,57827204
723455,1,712911,56309360
713275,0,780770,49570202
295639,1,714046,56308220
713234,0,808645,52125710
707668,1,695290,7846423
711642,1,747147,28576642
736658,1,560395,56307871
741649,0,713909,63051188
714007,0,713767,1214627
683854,0,707073,74841595
715533,0,698094,3106693
723139,1,732691,25560867
707524,0,800204,49569867
714585,1,713947,3103702
826314,0,698088,43407790
732368,0,715502,57825493
558979,0,715515,48342337
724841,0,713194,1215114
855977,0,855978,48379197
472476,0,713070,31792689
594968,1,797826,48345280
711292,0,685965,48343721
750803,1,713294,10574102
695302,1,982372,74524179
735634,1,815961,56305400
753313,0,684629,74841825
713429,1,723754,74843383
792435,1,681665,31792569
741966,0,729118,48381169
667077,1,899871,57827781
624148,1,601669,52126078
572962,1,714550,49569370
710525,0,719841,7848736
719131,0,719136,80096350
733740,1,950104,66878118
1021731,0,697223,74843795
