date,count,start,end,type
"20160323T000000",47,3686,3732,3
"20161220T000000",115,31672,31786,3
"20150831T000000",2,30,31,3
"20151112T000000",13,123,135,3
"20160617T000000",65,9430,9494,3
"20171002T000000",361,96567,96927,3
"20170816T000000",247,82789,83035,3
"20170929T000000",212,95899,96110,3
"20160320T000000",55,3521,3575,3
"20170124T000000",269,37295,37563,3
"20151002T000000",2,47,48,3
"20161022T000000",144,23206,23349,3
"20160913T000000",78,17937,18014,3
"20160614T000000",73,9187,9259,3
"20170609T000000",308,64645,64952,3
"20170702T000000",291,70531,70821,3
"20170420T000000",167,54300,54466,3
"20170617T000000",342,66841,67182,3
"20170220T000000",208,42087,42294,3
"20170121T000000",189,36817,37005,3
"20161211T000000",231,30237,30467,3
"20170623T000000",231,68254,68484,3
"20161120T000000",191,27279,27469,3
"20171111T000000",335,109931,110265,3
"20171119T000000",517,112489,113005,3
"20170501T000000",224,56072,56295,3
"20170324T000000",165,48622,48786,3
"20160517T000000",67,7153,7219,3
"20160611T000000",23,8994,9016,3
"20161213T000000",137,30616,30752,3
"20161126T000000",167,28192,28358,3
"20170814T000000",245,82292,82536,3
"20171003T000000",110,96928,97037,3
"20161103T000000",232,24867,25098,3
"20170215T000000",125,41144,41268,3
"20160422T000000",48,5420,5467,3
"20170519T000000",295,59747,60041,3
"20161112T000000",165,26152,26316,3
"20170731T000000",96,78770,78865,3
"20171229T000000",386,126698,127083,3
"20170128T000000",192,38089,38280,3
"20160514T000000",86,6957,7042,3
"20170204T000000",127,39331,39457,3
"20150527T000000",2,6,7,3
"20161226T000000",199,32712,32910,3
"20170724T000000",316,76865,77180,3
"20170103T000000",264,33877,34140,3
"20170509T000000",166,57811,57976,3
"20160310T000000",88,3080,3167,3
"20160702T000000",75,10657,10731,3
"20160506T000000",52,6356,6407,3
"20160831T000000",71,16567,16637,3
"20170114T000000",135,35731,35865,3
"20161203T000000",178,29212,29389,3
"20170907T000000",405,89116,89520,3
"20170126T000000",247,37631,37877,3
"20151101T000000",1,59,59,3
"20160316T000000",35,3448,3482,3
"20160216T000000",38,1986,2023,3
"20161204T000000",80,29390,29469,3
"20170424T000000",146,54745,54890,3
"20160805T000000",130,13828,13957,3
"20170727T000000",485,77724,78208,3
"20160401T000000",71,4105,4175,3
"20170521T000000",317,60185,60501,3
"20170831T000000",364,87048,87411,3
"20160113T000000",25,965,989,3
"20160918T000000",151,18522,18672,3
"20170821T000000",388,84225,84612,3
"20160601T000000",87,8155,8241,3
"20161009T000000",182,21329,21510,3
"20170726T000000",149,77575,77723,3
"20170818T000000",95,83440,83534,3
"20160321T000000",36,3576,3611,3
"20161104T000000",99,25099,25197,3
"20170410T000000",84,52089,52172,3
"20160612T000000",103,9017,9119,3
"20161109T000000",179,25661,25839,3
"20170629T000000",265,69648,69912,3
"20170924T000000",222,94467,94688,3
"20160531T000000",71,8084,8154,3
"20170616T000000",166,66675,66840,3
"20161113T000000",113,26317,26429,3
"20170806T000000",299,80185,80483,3
"20171025T000000",471,104535,105005,3
"20171209T000000",272,119253,119524,3
"20151110T000000",3,113,115,3
"20171230T000000",267,127084,127350,3
"20160804T000000",96,13732,13827,3
"20161002T000000",98,20667,20764,3
"20170712T000000",400,73331,73730,3
"20160406T000000",77,4441,4517,3
"20161106T000000",81,25359,25439,3
"20170703T000000",266,70822,71087,3
"20170630T000000",369,69913,70281,3
"20160305T000000",41,2844,2884,3
